6.242383945219428520e-01,1.821715725270654573e+01
2.166761568422528317e-01,1.416944960035335477e+01
8.194861202201436656e-01,1.209772813913926015e+01
6.157697916573108277e-01,1.609258063633278724e-01
5.049773418142631254e-01,1.910799722450327920e+01
8.542323781531856453e-01,2.266250854854356689e+01
8.128002816650992113e-01,1.578081418104731526e+01
8.693969316312203377e-01,1.977096861059463606e+01
9.178122679623539337e-01,2.792205801359403772e+00
7.916004019672622238e-01,7.971640939418059624e+00
